FSM_ID FSMStates FSMInputs FSMOutputs FSMSize W_Time W_Memory SIS_Tr SIS_Size SIS_Cost TS_Size TS_Cost Algorithm
38 10 7 7 70 0 1.00781 5673 70 154 560 1722 MWA
39 10 7 7 70 0 0.890625 950 1 59 211 913 OWA
39 10 7 7 70 0 0.953125 5715 70 198 560 2074 CWA
39 10 7 7 70 0 1.00781 5715 70 168 560 1834 MWA
40 10 7 7 70 0 0.847656 964 1 44 141 618 OWA
40 10 7 7 70 0 0.953125 5763 70 212 560 2186 CWA
40 10 7 7 70 0 1.00781 5763 70 182 560 1946 MWA
41 10 7 7 70 0 0.886719 967 1 23 71 317 OWA
41 10 7 7 70 0 0.953125 5799 80 206 640 2208 CWA
41 10 7 7 70 0 0.953125 5799 70 154 560 1722 MWA
42 10 7 7 70 0 0.902344 979 1 62 281 1028 OWA
42 10 7 7 70 0 1.00781 5835 70 184 560 1962 CWA
42 10 7 7 70 0 1.00781 5835 70 154 560 1722 MWA
43 10 7 7 70 0 0.863281 990 1 41 141 573 OWA
43 10 7 7 70 0 0.925781 5874 70 191 560 2018 CWA
